concept,kind,metric,value,n,baseline_metric,baseline_value,beats_baseline,note
smooth-or-featured,classification,AUC,,6056,AUC,0.5,False,
disk-edge-on,classification,AUC,0.9250233373534906,4647,AUC,0.5,True,
bar,classification,AUC,0.7551417615948971,3781,AUC,0.5,True,
has-spiral-arms,classification,AUC,0.9151157486391964,3959,AUC,0.5,True,
bulge-size,classification,AUC,0.7945493904311695,3645,AUC,0.5,True,
how-rounded,classification,AUC,0.950258460188639,5534,AUC,0.5,True,
edge-on-bulge,classification,AUC,0.7431286546267327,1992,AUC,0.5,True,
spiral-winding,classification,AUC,0.7535035923674379,1934,AUC,0.5,True,
spiral-arm-count,classification,AUC,0.7927916383398892,1887,AUC,0.5,True,
merging,classification,AUC,0.8105588581356428,5613,AUC,0.5,True,
concentration,regression,RMSE,0.1935647236661952,6075,RMSE (σ),0.3645601676497872,True,
asymmetry,regression,RMSE,0.18744694070877851,6075,RMSE (σ),0.18995857355255596,True,
smoothness,regression,RMSE,0.08696999790509072,6075,RMSE (σ),0.07796219763376361,False,
gini,regression,RMSE,0.04809022463495617,6075,RMSE (σ),0.06454179129566039,True,
m20,regression,RMSE,0.16448956095458678,6075,RMSE (σ),0.31555346045823873,True,
sersic_n,regression,RMSE,0.1483870907162798,6075,RMSE (σ),0.27449880173146834,True,
r_eff_pixels,regression,RMSE,7.1108089532515955,6075,RMSE (σ),24.607118935324664,True,
